lon,lat,Code,Country
100.875,1.625,IDN,Indonesia
106.625,21.875,VNM,Vietnam
103.125,16.875,THA,Thailand
133.875,-1.625,IDN,Indonesia
104.375,10.625,KHM,Cambodia
139.125,-7.625,IDN,Indonesia
106.625,10.625,VNM,Vietnam
98.375,19.125,THA,Thailand
102.875,-2.625,IDN,Indonesia
125.125,12.125,PHL,Philippines
101.125,16.125,THA,Thailand
99.125,11.875,MMR,Myanmar
100.625,17.125,THA,Thailand
104.625,12.625,KHM,Cambodia
107.875,10.875,VNM,Vietnam
100.375,5.875,MYS,Malaysia
102.125,-0.375,IDN,Indonesia
102.875,-3.125,IDN,Indonesia
103.625,1.875,MYS,Malaysia
135.625,-3.625,IDN,Indonesia
107.625,10.625,VNM,Vietnam
115.875,1.625,IDN,Indonesia
101.125,15.875,THA,Thailand
105.125,-3.375,IDN,Indonesia
104.125,11.125,KHM,Cambodia
99.375,7.875,THA,Thailand
128.375,2.125,IDN,Indonesia
140.875,-6.375,IDN,Indonesia
101.625,13.875,THA,Thailand
126.375,-3.375,IDN,Indonesia
94.625,22.125,MMR,Myanmar
101.875,3.875,MYS,Malaysia
110.875,-0.375,IDN,Indonesia
101.125,4.125,MYS,Malaysia
104.625,10.375,VNM,Vietnam
105.875,12.625,KHM,Cambodia
103.375,20.125,LAO,Laos
136.875,-3.375,IDN,Indonesia
116.125,-2.125,IDN,Indonesia
117.125,-8.375,IDN,Indonesia
99.375,8.375,THA,Thailand
102.375,-3.125,IDN,Indonesia
116.625,-0.625,IDN,Indonesia
106.375,17.375,VNM,Vietnam
97.125,23.625,MMR,Myanmar
97.125,21.125,MMR,Myanmar
99.625,20.875,MMR,Myanmar
115.125,3.125,MYS,Malaysia
111.375,-2.625,IDN,Indonesia
115.125,-8.125,IDN,Indonesia
113.125,0.875,IDN,Indonesia
97.625,26.375,MMR,Myanmar
98.625,22.875,MMR,Myanmar
96.625,20.625,MMR,Myanmar
96.625,18.625,MMR,Myanmar
105.875,12.125,KHM,Cambodia
102.625,-1.875,IDN,Indonesia
111.125,-7.375,IDN,Indonesia
101.625,17.625,THA,Thailand
114.125,1.375,IDN,Indonesia
95.375,26.125,MMR,Myanmar
115.875,2.125,IDN,Indonesia
101.375,15.125,THA,Thailand
117.875,-8.125,IDN,Indonesia
110.875,-8.125,IDN,Indonesia
94.375,21.875,MMR,Myanmar
113.375,-7.875,IDN,Indonesia
96.875,18.375,MMR,Myanmar
100.625,6.125,MYS,Malaysia
99.625,18.125,THA,Thailand
98.875,14.625,THA,Thailand
104.625,12.875,KHM,Cambodia
100.375,1.125,IDN,Indonesia
106.875,10.375,VNM,Vietnam
103.875,10.875,KHM,Cambodia
134.875,-1.125,IDN,Indonesia
104.125,17.375,THA,Thailand
127.625,0.625,IDN,Indonesia
105.625,14.375,LAO,Laos
107.125,11.125,VNM,Vietnam
140.875,-4.625,IDN,Indonesia
97.125,5.125,IDN,Indonesia
101.625,3.125,MYS,Malaysia
99.625,7.375,THA,Thailand
123.625,13.875,PHL,Philippines
117.375,1.125,IDN,Indonesia
114.875,0.625,IDN,Indonesia
95.625,18.875,MMR,Myanmar
121.375,18.375,PHL,Philippines
111.875,-0.875,IDN,Indonesia
125.625,9.875,PHL,Philippines
95.375,25.875,MMR,Myanmar
139.875,-6.375,IDN,Indonesia
140.625,-6.875,IDN,Indonesia
113.875,1.375,IDN,Indonesia
105.125,23.125,VNM,Vietnam
100.125,21.625,MMR,Myanmar
102.125,14.375,THA,Thailand
123.125,0.875,IDN,Indonesia
103.125,12.375,KHM,Cambodia
103.875,12.625,KHM,Cambodia
103.375,11.125,KHM,Cambodia
132.875,-0.625,IDN,Indonesia
122.875,13.875,PHL,Philippines
97.375,18.875,MMR,Myanmar
97.875,20.375,MMR,Myanmar
113.875,2.375,MYS,Malaysia
101.875,3.125,MYS,Malaysia
98.125,27.875,MMR,Myanmar
100.125,-2.625,IDN,Indonesia
127.875,-0.125,IDN,Indonesia
113.125,0.125,IDN,Indonesia
104.125,0.875,IDN,Indonesia
106.875,15.625,LAO,Laos
99.875,0.375,IDN,Indonesia
106.625,15.125,LAO,Laos
101.625,4.625,MYS,Malaysia
117.875,0.875,IDN,Indonesia
140.625,-6.625,IDN,Indonesia
104.875,-2.875,IDN,Indonesia
97.625,18.375,THA,Thailand
95.625,16.375,MMR,Myanmar
121.375,16.875,PHL,Philippines
139.375,-5.125,IDN,Indonesia
103.625,11.375,KHM,Cambodia
138.375,-4.375,IDN,Indonesia
106.875,-6.375,IDN,Indonesia
121.375,-2.375,IDN,Indonesia
112.875,1.625,MYS,Malaysia
117.125,4.125,IDN,Indonesia
97.125,22.625,MMR,Myanmar
99.625,21.125,MMR,Myanmar
100.375,19.625,THA,Thailand
102.875,19.625,LAO,Laos
100.125,14.625,THA,Thailand
123.375,7.625,PHL,Philippines
113.375,1.375,MYS,Malaysia
128.375,-3.125,IDN,Indonesia
101.375,-0.125,IDN,Indonesia
98.875,12.875,MMR,Myanmar
99.625,8.625,THA,Thailand
113.625,-1.875,IDN,Indonesia
105.375,18.875,VNM,Vietnam
94.875,21.625,MMR,Myanmar
113.125,-0.625,IDN,Indonesia
110.375,0.375,IDN,Indonesia
100.625,19.625,LAO,Laos
